article_key,n_snippets_y1,n_snippets_y2,cosine_similarity,drift
Кримінальний кодекс України|185,50,50,0.9645,0.0355
Кримінальний кодекс України|309,50,50,0.9604,0.0396
Кримінальний кодекс України|70,50,50,0.971,0.029
Кримінальний кодекс України|75,50,50,0.9648,0.0352
Кримінальний кодекс України|76,50,50,0.9667,0.0333
Цивільний процесуальний кодекс України|10,50,50,0.9628,0.0372
Цивільний процесуальний кодекс України|11,50,50,0.9659,0.0341
Цивільний процесуальний кодекс України|127,50,50,0.9422,0.0578
Цивільний процесуальний кодекс України|169,50,50,0.9474,0.0526
Цивільний процесуальний кодекс України|174,50,50,0.9535,0.0465
Цивільний процесуальний кодекс України|175,50,50,0.9456,0.0544
Цивільний процесуальний кодекс України|197,50,50,0.9641,0.0359
Цивільний процесуальний кодекс України|212,50,50,0.9561,0.0439
Цивільний процесуальний кодекс України|27,50,50,0.9603,0.0397
Цивільний процесуальний кодекс України|3,50,50,0.9608,0.0392
Цивільний процесуальний кодекс України|31,50,50,0.9585,0.0415
Цивільний процесуальний кодекс України|4,50,50,0.9553,0.0447
Цивільний процесуальний кодекс України|7,50,50,0.9542,0.0458
Цивільний процесуальний кодекс України|77,50,50,0.956,0.044
Цивільний процесуальний кодекс України|82,50,50,0.9182,0.0818
Цивільний процесуальний кодекс України|95,50,50,0.9518,0.0482
Кримінальний кодекс України|384,48,48,0.969,0.031
Цивільний процесуальний кодекс України|128,48,50,0.9555,0.0445
Кримінальний процесуальний кодекс України|177,47,50,0.9551,0.0449
Цивільний процесуальний кодекс України|79,46,50,0.9633,0.0367
Кримінальний кодекс України|385,46,43,0.9682,0.0318
Кримінальний кодекс України|12,42,50,0.9432,0.0568
Цивільний процесуальний кодекс України|5,42,50,0.953,0.047
Кримінальний процесуальний кодекс України|178,41,50,0.956,0.044
Цивільний процесуальний кодекс України|81,41,50,0.9489,0.0511
Цивільний процесуальний кодекс України|8,50,40,0.9605,0.0395
Цивільний процесуальний кодекс України|137,39,50,0.9643,0.0357
Цивільний процесуальний кодекс України|153,50,39,0.9659,0.0341
Кримінальний кодекс України|78,50,37,0.963,0.037
Кримінальний процесуальний кодекс України|163,36,50,0.9653,0.0347
Кримінальний кодекс України|89,35,50,0.966,0.034
Кримінальний кодекс України|186,34,50,0.9628,0.0372
Кримінальний процесуальний кодекс України|81,34,36,0.9633,0.0367
Кримінальний процесуальний кодекс України|94,34,39,0.9622,0.0378
Кримінальний кодекс України|190,32,50,0.9594,0.0406
Кримінальний кодекс України|49,50,32,0.9592,0.0408
Цивільний процесуальний кодекс України|76,32,50,0.9529,0.0471
Цивільний процесуальний кодекс України|151,50,29,0.9668,0.0332
Цивільний процесуальний кодекс України|206,29,50,0.9605,0.0395
Кримінальний кодекс України|358,28,50,0.9611,0.0389
Кримінальний кодекс України|366,27,35,0.9676,0.0324
Кримінальний процесуальний кодекс України|160,27,50,0.9612,0.0388
Кримінальний процесуальний кодекс України|237,50,27,0.9458,0.0542
Цивільний процесуальний кодекс України|103,50,27,0.9389,0.0611
Кримінальний кодекс України|115,25,50,0.9617,0.0383
Кримінальний кодекс України|71,25,50,0.9702,0.0298
Кримінальний процесуальний кодекс України|98,25,50,0.9605,0.0395
Цивільний процесуальний кодекс України|152,50,25,0.9669,0.0331
Цивільний процесуальний кодекс України|30,25,45,0.9617,0.0383
Цивільний процесуальний кодекс України|60,50,24,0.9624,0.0376
Цивільний процесуальний кодекс України|62,24,33,0.9623,0.0377
Кримінальний кодекс України|263,23,50,0.9638,0.0362
Кримінальний кодекс України|69,23,42,0.9609,0.0391
Цивільний процесуальний кодекс України|58,50,23,0.9547,0.0453
Цивільний процесуальний кодекс України|105,50,22,0.9414,0.0586
Кримінальний кодекс України|286,21,50,0.9588,0.0412
Цивільний процесуальний кодекс України|131,50,21,0.958,0.042
Цивільний процесуальний кодекс України|80,21,50,0.956,0.044
Цивільний процесуальний кодекс України|15,50,20,0.9556,0.0444
Кримінальний кодекс України|296,22,19,0.9601,0.0399
Кримінальний кодекс України|81,46,19,0.965,0.035
Кримінальний процесуальний кодекс України|164,19,50,0.9644,0.0356
Кримінальний процесуальний кодекс України|183,19,50,0.9502,0.0498
Цивільний процесуальний кодекс України|14,19,50,0.9517,0.0483
Цивільний процесуальний кодекс України|6,19,28,0.9563,0.0437
Цивільний процесуальний кодекс України|83,19,50,0.9508,0.0492
Кримінальний кодекс України|307,18,50,0.9581,0.0419
Кримінальний процесуальний кодекс України|132,18,50,0.9605,0.0395
Цивільний процесуальний кодекс України|158,19,18,0.9595,0.0405
Цивільний процесуальний кодекс України|33,18,50,0.9535,0.0465
Кримінальний кодекс України|191,17,50,0.9599,0.0401
Цивільний процесуальний кодекс України|133,17,50,0.9523,0.0477
Кримінальний кодекс України|121,16,44,0.9584,0.0416
Кримінальний процесуальний кодекс України|159,16,50,0.9571,0.0429
Цивільний процесуальний кодекс України|191,16,50,0.9601,0.0399
Кримінальний кодекс України|187,15,26,0.9539,0.0461
Кримінальний кодекс України|367,15,17,0.9546,0.0454
Кримінальний кодекс України|72,15,37,0.9623,0.0377
Кримінальний процесуальний кодекс України|194,15,50,0.9625,0.0375
Кримінальний процесуальний кодекс України|196,15,50,0.964,0.036
Цивільний процесуальний кодекс України|104,50,15,0.9364,0.0636
Цивільний процесуальний кодекс України|130,50,15,0.9499,0.0501
Цивільний процесуальний кодекс України|211,15,50,0.9593,0.0407
Кримінальний кодекс України|122,20,14,0.9624,0.0376
Кримінальний процесуальний кодекс України|165,14,50,0.9662,0.0338
Кримінальний процесуальний кодекс України|193,14,50,0.9627,0.0373
Кримінальний кодекс України|364,13,49,0.9658,0.0342
