n_predictions,n_cases,n_articles,mrr_aa,hit10_aa,eval_year,lambda
415024,50000,5000,0.327401889960562,0.564203515941247,2014,0
415024,50000,5000,0.337669857994832,0.588165985581557,2014,0.1
415024,50000,5000,0.341540937501349,0.606526369559351,2014,0.2
415024,50000,5000,0.347311747593365,0.619106364933112,2014,0.5
415024,50000,5000,0.357711621440477,0.626019218165696,2014,1
369757,50000,5000,0.333772643126322,0.577154725941632,2016,0
369757,50000,5000,0.340715359428971,0.586782670781081,2016,0.1
369757,50000,5000,0.341905061715161,0.589973955868314,2016,0.2
369757,50000,5000,0.342830528097292,0.592486416754788,2016,0.5
369757,50000,5000,0.343661726556063,0.595215235952261,2016,1
415148,50000,5000,0.165326067034199,0.309116266969852,2018,0
415148,50000,5000,0.172596910191848,0.323072735506374,2018,0.1
415148,50000,5000,0.177716235287792,0.332293543507376,2018,0.2
415148,50000,5000,0.18909742150385,0.354796361779414,2018,0.5
415148,50000,5000,0.203418473637633,0.379072041777872,2018,1
412130,50000,5000,0.246511782566592,0.47412709581928,2020,0
412130,50000,5000,0.273884959332444,0.521871739499673,2020,0.1
412130,50000,5000,0.286203390897491,0.548297867177832,2020,0.2
412130,50000,5000,0.292708687916404,0.556574381869798,2020,0.5
412130,50000,5000,0.292512362993565,0.556215271880232,2020,1
417481,50000,3279,0.254999068102299,0.496748355014959,2022,0
417481,50000,3279,0.27695959027107,0.539229330197063,2022,0.1
417481,50000,3279,0.280278510154982,0.545361345785796,2022,0.2
417481,50000,3279,0.279568575788434,0.54884413901471,2022,0.5
417481,50000,3279,0.279494758586926,0.549792685176092,2022,1
453653,50000,3671,0.268789785193992,0.526342821495725,2024,0
453653,50000,3671,0.279787108755761,0.547857062556624,2024,0.1
453653,50000,3671,0.278128439716814,0.546448496978969,2024,0.2
453653,50000,3671,0.274920152681589,0.543316146922868,2024,0.5
453653,50000,3671,0.274349309192831,0.543146413668597,2024,1
