sample_id,language,tokens,chars,content_type,edit_class,session_source,edit_distance_norm
cc045bb7-f1e3-4da3-8786-cfe0ad5e58b4,en,27,122,prose,rejection,claude_code_transcript,0.7459
ba7053b6-12d4-47d7-96a8-2d2e460d7540,en,25,117,prose,rejection,claude_code_transcript,0.7265
fb4ea074-f86c-4c59-99ac-c196c3ebeaa8,en,15,72,mixed_prose_code,rejection,claude_code_transcript,0.7703
125af962-eae1-4a1f-a226-d43f558e4ee4,en,7,25,prose,rejection,claude_code_transcript,0.7647
b6ef3b0c-da8c-42f7-a6dd-a7541b703ea4,en,18,74,prose,rejection,claude_code_transcript,0.7297
7deda298-bd8b-426d-8d71-9554948bea54,et,120,324,prose,rejection,claude_code_transcript,0.7963
e63370da-9ba0-4fec-b2ec-27d7a96512c3,en,28,118,prose,rejection,claude_code_transcript,0.7458
811f19d5-1adc-42bc-aa07-62420854dd37,en,12,64,prose,rejection,claude_code_transcript,0.7348
e67e12ad-5761-47fc-8331-5914951037ae,en,34,155,prose,rejection,claude_code_transcript,0.7871
42569974-e41e-4ab4-831e-c6e07f81e69c,uk,50,86,prose,rejection,claude_code_transcript,0.7885
de31d145-927c-495d-b88a-5639ade8997b,uk,71,155,prose,tone_adjustment,claude_code_transcript,0.7419
a4718923-32a2-4e6d-9486-fe446ae7ed79,en,34,168,prose,tone_adjustment,claude_code_transcript,0.7798
86ba2002-a9ce-43d2-ba5c-50af72115ee2,ru,39,111,prose,tone_adjustment,claude_code_transcript,0.7477
7c56cb07-bb98-445a-abf9-2ebcc0414bfe,uk,17,37,prose,tone_adjustment,claude_code_transcript,0.7571
f53a1702-c46d-4962-bd6c-a3805f624a6f,en,60,224,prose,tone_adjustment,claude_code_transcript,0.6996
6531a358-17a9-41ed-8305-37a8075cd9bf,en,17,96,prose,tone_adjustment,claude_code_transcript,0.7604
ac5185de-a530-43b2-b5b4-ae4c2970950e,en,8,33,mixed_prose_code,tone_adjustment,claude_code_transcript,0.6032
6531d2e9-c585-4733-93eb-1fda50ce888b,en,17,76,prose,tone_adjustment,claude_code_transcript,0.7692
28bb7539-e856-4b0c-92d1-3553a6a0a8e0,en,10,43,mixed_prose_code,tone_adjustment,claude_code_transcript,0.5000
73734114-19ab-4094-8720-e98d75ad29ed,en,23,107,mixed_prose_code,tone_adjustment,claude_code_transcript,0.7290
bc5c2f2c-46d6-442d-b4d8-1f06356f0ace,ru,17,39,prose,factual_correction,claude_code_transcript,0.7183
23ba5aaf-813e-449c-84ad-217bfccd53ea,en,37,152,mixed_prose_code,factual_correction,claude_code_transcript,0.7632
a22ab90f-7f56-415d-893f-33f8374f33cc,ru,84,185,prose,factual_correction,claude_code_transcript,0.7946
bc7ace83-229f-4615-817d-b563e87dbf6c,en,8,40,prose,factual_correction,claude_code_transcript,0.5750
89c57940-bfc8-4531-8757-38a0fcf640f5,en,13,56,mixed_prose_code,factual_correction,claude_code_transcript,0.7018
1b66caa0-8846-46a7-8623-65d6a90f86aa,en,8,30,prose,factual_correction,claude_code_transcript,0.7342
0066cccb-8466-43f6-85a8-7fc4180dde26,en,10,34,prose,factual_correction,claude_code_transcript,0.4706
cb40f016-bfdb-4b9a-80ba-8aeb9e4b0068,uk,26,57,prose,factual_correction,claude_code_transcript,0.4561
bdf4bd0a-dc92-4c08-9423-ceec49fb387a,ru,42,83,prose,factual_correction,claude_code_transcript,0.7831
8ba8cd72-b5c1-4cd4-8ff2-7f2a954657fe,uk,28,64,prose,factual_correction,claude_code_transcript,0.7188
04faa22d-096a-4cf9-a4fe-9764774a2987,ru,79,178,prose,substantive_rewrite,claude_code_transcript,0.8764
9e5603ad-a470-42de-9b7b-0bd659fba4f2,uk,71,149,prose,substantive_rewrite,claude_code_transcript,0.8391
19fd85b1-54ff-4365-b291-f1b602a2d548,ru,27,58,prose,substantive_rewrite,claude_code_transcript,0.9590
cc133ab4-239c-47de-b0d6-b640177e42b8,en,3170,11843,pure_code,substantive_rewrite,claude_code_transcript,0.8236
7f7b6e28-a53e-4704-940b-54c86d00fcf7,en,11,49,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7521
e1c15871-f5ef-4bc7-a1ca-47fa23018d72,uk,33,61,prose,substantive_rewrite,claude_code_transcript,0.8750
bc044077-6381-4f35-9a29-904c00f62d37,ru,50,153,prose,substantive_rewrite,claude_code_transcript,0.8270
40da489b-e462-4111-b362-c6b74e8608cc,ru,26,56,prose,substantive_rewrite,claude_code_transcript,0.9286
503ec5fe-629c-487a-8d57-cbeb51e2cf5e,ru,25,62,prose,substantive_rewrite,claude_code_transcript,0.6452
076a73cd-d35e-46e8-9c77-c667fa7463af,en,10,53,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.5283
ec6b9573-52ab-44a6-b43e-61ec5b56e28d,en,11,58,prose,substantive_rewrite,claude_code_transcript,0.6618
c7d7daa4-9414-411a-ba29-53dc31cc1759,ru,35,82,prose,substantive_rewrite,claude_code_transcript,0.9627
48002f26-fdb6-4bdf-bce4-3db5538a046e,uk,187,356,prose,substantive_rewrite,claude_code_transcript,0.9803
43a77956-d753-4e63-b6bf-18e05371cdc8,en,13,59,prose,substantive_rewrite,claude_code_transcript,0.7876
994e7aa4-0aeb-49e3-88e4-6a6cbbfbc0e3,ru,148,330,prose,substantive_rewrite,claude_code_transcript,0.7511
9ae86426-7112-4ee5-a94f-3f87fcd786e2,ru,30,69,prose,substantive_rewrite,claude_code_transcript,0.8701
1eba5e7d-6e21-45b8-b577-64cd9380dfd5,en,22,121,prose,substantive_rewrite,claude_code_transcript,0.6975
48c919e1-a258-411f-b112-cc3cac3daf72,en,26,140,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.5643
a37c68df-d3ff-44b2-8dfc-6d38c5674a75,ru,47,124,prose,substantive_rewrite,claude_code_transcript,0.7742
3d7a8af6-c8ff-4de7-bfb9-2738e429a1a3,en,109,393,prose,substantive_rewrite,claude_code_transcript,0.9413
bb4a0ce8-4108-4d9f-9209-0512d0bc2ece,en,14,65,prose,substantive_rewrite,claude_code_transcript,0.5846
283a4922-ded6-43be-ba9d-356d108936fc,en,38,162,prose,substantive_rewrite,claude_code_transcript,0.8272
9c5959f4-983f-4eee-b495-191a21a4cb36,en,38,184,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7725
ca789043-6f3a-4fd5-8ba1-7e6dc1e4e819,en,13,64,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7344
83f84566-017c-45ac-b652-072d845b9263,en,15,73,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.6986
79066c45-ef34-4858-8b86-22f167a7c8de,en,14,84,code_with_comments,substantive_rewrite,claude_code_transcript,0.6548
891088f8-d612-44af-a597-39b7d2ea1073,ru,134,392,mixed_prose_code,substantive_rewrite,claude_code_transcript,0.7877
1141c8d9-c313-443f-9736-84e31b08e030,ru,73,150,prose,substantive_rewrite,claude_code_transcript,0.8000
b706b14a-3d3e-454f-a0ca-cee912333990,en,55,208,prose,substantive_rewrite,claude_code_transcript,0.7625
f2c5e3a3-cc59-4fd6-8e70-5b91fb9711e1,uk,107,193,prose,substantive_rewrite,claude_code_transcript,0.9104
a6d6b99c-568c-4b01-a244-68e00229f276,ru,45,118,prose,substantive_rewrite,claude_code_transcript,0.7000
65caea5a-619e-41b0-8191-501c4ef58408,en,12,54,prose,substantive_rewrite,claude_code_transcript,0.9627
c3d5005b-e56a-4490-8e21-98b0d755fd48,en,19,95,prose,substantive_rewrite,claude_code_transcript,0.7368
654bec14-3201-4f42-b97e-1931b2159655,en,7,38,prose,substantive_rewrite,claude_code_transcript,0.7368
f1b5dfc2-59f0-444b-bdf0-7d6b69523645,ru,29,82,prose,substantive_rewrite,claude_code_transcript,0.8293
1dd9febd-281c-46d7-9cad-30c602a1f4c8,en,26,125,prose,substantive_rewrite,claude_code_transcript,0.6974
8922f0e5-d03a-4b5e-b766-061b0c41da95,ru,33,75,prose,substantive_rewrite,claude_code_transcript,0.8261
6cedcf0d-10ff-4a19-bad7-f06fc13d7a8e,ru,48,86,prose,substantive_rewrite,claude_code_transcript,0.8339
351ac67a-4d75-4dde-8848-0a5ae6eea436,uk,34,58,prose,substantive_rewrite,claude_code_transcript,0.8254
d71ba930-3fdb-4556-ab3a-07cc8a239580,en,32,131,prose,substantive_rewrite,claude_code_transcript,0.7450
