justice_kind,citation_type,citations,unique_decisions
1,codex_article,218060571,187954695
1,case_reference,23530144,19641637
1,law_article,7286701,5284558
1,supreme_court_ruling,1514093,1023276
1,constitution,1200406,991301
1,law_by_number,152495,125092
2,codex_article,66990064,42093840
2,case_reference,6198776,5437601
2,law_article,1044116,873520
2,constitution,380434,328461
2,supreme_court_ruling,229745,193929
2,law_by_number,156611,109036
3,codex_article,26328431,23984928
3,case_reference,10733424,3665423
3,law_article,2700920,2022179
3,constitution,316547,279484
3,supreme_court_ruling,270189,148147
3,law_by_number,113347,85328
4,codex_article,45507706,34766410
4,case_reference,17918028,10304583
4,law_article,16290764,9489152
4,constitution,3230107,2609709
4,law_by_number,2002043,1165433
4,supreme_court_ruling,831812,501124
5,codex_article,39195986,25168201
5,case_reference,7648703,6376661
5,law_article,1743929,1428233
5,constitution,448459,405864
5,supreme_court_ruling,160568,144467
5,law_by_number,46122,40078
