year,citation_type,citations,unique_decisions
2007,codex_article,27343899,26280236
2007,law_article,502782,428211
2007,case_reference,139445,104625
2007,constitution,105288,85819
2007,law_by_number,32692,18921
2007,supreme_court_ruling,25887,21667
2008,codex_article,3884645,3562314
2008,law_article,122512,102865
2008,constitution,34336,27578
2008,case_reference,32765,22552
2008,supreme_court_ruling,5779,5071
2008,law_by_number,5172,3395
2009,codex_article,95362,83347
2009,law_article,21020,14962
2009,constitution,3230,2263
2009,case_reference,1790,1264
2009,law_by_number,568,292
2009,supreme_court_ruling,204,163
2010,codex_article,10122567,8782201
2010,law_article,3261201,1597888
2010,constitution,807640,617426
2010,law_by_number,108737,74262
2010,case_reference,99550,53565
2010,supreme_court_ruling,26436,22910
2011,codex_article,3240246,2886606
2011,law_article,510348,281284
2011,constitution,164722,139137
2011,case_reference,24357,16906
2011,law_by_number,16022,10426
2011,supreme_court_ruling,4433,4096
2012,codex_article,7024331,5271230
2012,case_reference,860863,746438
2012,law_article,665062,422295
2012,constitution,100115,88258
2012,supreme_court_ruling,16958,14699
2012,law_by_number,13859,9022
2013,codex_article,4091171,3199093
2013,case_reference,702530,606776
2013,law_article,313174,244259
2013,constitution,37540,32374
2013,supreme_court_ruling,17055,13946
2013,law_by_number,11017,6387
2014,codex_article,20856380,18293158
2014,case_reference,2328231,1832178
2014,law_article,1513912,1242677
2014,constitution,172484,150729
2014,supreme_court_ruling,69775,56089
2014,law_by_number,31714,19451
2015,codex_article,19741725,17339153
2015,case_reference,2210983,1693097
2015,law_article,906978,627754
2015,constitution,103993,88517
2015,supreme_court_ruling,64930,51537
2015,law_by_number,23901,14443
2016,codex_article,62544922,52136476
2016,case_reference,8731729,6576262
2016,law_article,2845730,2034009
2016,constitution,433742,356398
2016,supreme_court_ruling,309383,241719
2016,law_by_number,114707,74435
2017,codex_article,21144462,16261016
2017,case_reference,3495818,2572800
2017,law_article,1239450,872483
2017,constitution,208528,175927
2017,supreme_court_ruling,134664,106533
2017,law_by_number,51311,34419
2018,codex_article,21655340,15997049
2018,case_reference,3644462,2631609
2018,law_article,1221347,912979
2018,constitution,224641,190463
2018,supreme_court_ruling,140683,111370
2018,law_by_number,76724,54284
2019,codex_article,19486025,15050947
2019,case_reference,3423770,2344556
2019,law_article,966814,696460
2019,constitution,196881,168927
2019,supreme_court_ruling,123491,95580
2019,law_by_number,44642,31494
2020,codex_article,20318010,15098553
2020,case_reference,4033758,2670995
2020,law_article,1253990,870726
2020,constitution,239152,208304
2020,supreme_court_ruling,191477,127088
2020,law_by_number,111879,71225
2021,codex_article,16970921,12190668
2021,case_reference,4091903,2659940
2021,law_article,1644815,1041427
2021,constitution,289547,251535
2021,supreme_court_ruling,233924,141997
2021,law_by_number,165143,95610
2022,codex_article,19776357,15164218
2022,case_reference,4127029,2661258
2022,law_article,1899774,1177719
2022,constitution,375853,322763
2022,supreme_court_ruling,229634,138011
2022,law_by_number,227412,127965
2023,codex_article,25501402,18097619
2023,case_reference,6864813,4381592
2023,law_article,2371153,1538310
2023,constitution,535458,457460
2023,law_by_number,403034,225688
2023,supreme_court_ruling,351667,216730
2024,codex_article,37462553,29362767
2024,case_reference,6895866,4542190
2024,law_article,2343187,1578406
2024,constitution,465474,400378
2024,supreme_court_ruling,360167,222612
2024,law_by_number,329849,212141
2025,codex_article,30141290,21768928
2025,case_reference,7656099,4973070
2025,law_article,2740066,1726587
2025,constitution,568979,442840
2025,law_by_number,378542,237829
2025,supreme_court_ruling,375306,227636
